cve_estac,nom_estac,longitud,latitud,alt,obs_estac,id_station,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
SFE,Santa FE,-99.262865,19.357357,2599,,484090040309,0,0,0,0,0,0,0,0,0,0,0,0,14.5490200116257,15.0849472459088,15.1221004221649,14.9801586165026,15.0110147066406,15.0342971798943,14.8176726669443,15.4828107575835,15.7716717632578
SHA,Secretar�a de Hacienda,-99.207868,19.446203,2272,,484090160202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SJA,San Juan Arag�n,-99.086095,19.452592,2258,,484090050701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SNT,San Nicolas Totolapan,-99.256462,19.250385,2946,,484090080104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SUR,Santa Ursula,-99.149994,19.31448,2279,,484090030109,0,0,0,0,0,0,0,0,0,15.7032227522713,16.1778318498756,17.6272971585576,17.4786283916438,17.0161207352927,17.9436655875735,0,0,0,0,0,0
TAC,Tacuba,-99.202455,19.453907,2275,Finaliz� operaci�n en 2010,484090160309,0,14.7513223972747,13.4037634408602,17.1032542636858,16.7201839953867,17.8395587117728,17.4397603087007,15.1209086836103,16.9286193970641,17.7459282945923,17.2482809831009,0,0,0,0,0,0,0,0,0,0
TAH,Tl�huac,-99.010564,19.246459,2297,,484090130309,0,14.7053012461504,16.1826950402267,17.2477487143275,16.0784134178677,16.8592062660505,16.4792568842053,14.3035987917578,16.2710388065414,17.2870162155833,16.5148948950576,16.0607148206511,15.4761994399433,15.5761079612097,17.0279374501207,16.9903608419735,16.9030832969678,16.8374259599643,16.4526266739716,17.3645881860613,18.036019399146
TAX,Taxque�a,-99.123204,19.335689,2242,Finaliz� operaci�n en 2010,484090030201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TEC,Cerro del Tepeyac,-99.114229,19.487227,2265,,484090050404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TLA,Tlalnepantla,-99.204597,19.529077,2311,,484151040115,15.5118723452475,15.0191072337194,16.4475456446613,16.8817649153457,16.2955363029316,17.0829255957267,16.6295595392626,16.7587778804203,16.4457410100385,17.1664590125249,17.0803796686456,18.1372967769402,16.7588267721403,17.055630080932,17.0087259643643,17.0034545067832,16.8868698009934,17.0166520663296,16.8703041531689,17.1426495813852,18.0795829783745
TLI,Tultitl�n,-99.177173,19.602542,2313,,484151090101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TPN,Tlalpan,-99.184177,19.257041,2522,,484090120209,0,0,0,0,0,13.5158711155824,13.8611596962006,14.5575653016833,14.1021909735464,14.7249994446351,14.2401834892646,14.7504583468824,13.978801385736,14.3369104344781,14.973328201704,0,0,0,0,0,0
UAX,UAM Xochimilco,-99.103629,19.304441,2246,,484090030401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.9142084391414,17.7651702705716,16.7455733533745,17.8521769045393,16.6580015635286,17.7230767993959
UIZ,UAM Iztapalapa,-99.07388,19.360794,2221,,484090070219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.8091241819852,17.5467939670262,17.9565437022149,17.4182937697965,18.9703073477549,19.8396608270366
UNM,Unidad Movil,-99.147137,19.482238,,,484090000099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VAL,Vallejo,-99.165702,19.522437,2248,Finaliz� operaci�n en 2010,484090050501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VIF,Villa de las Flores,-99.09659,19.658223,2242,,484150200109,0,16.1743515175839,17.2660713878537,16.5830272198702,16.2099793847893,16.334185499042,16.4337868799611,16.9349732257901,16.4447518083992,17.8214452899516,17.4151425740105,16.8093440519822,16.1102811843819,16.5268275003592,15.9519667141861,16.4447494752227,16.9610170310111,17.028102876845,17.0029857776209,17.7832142026287,18.1881327270749
XAL,Xalostoc,-99.0824,19.525995,2160,,484150330415,16.7246366666733,16.8354617921011,16.9918480652046,17.4136129687778,16.5038052221978,17.526225341339,18.085605327223,16.3590071590977,17.0514320991659,17.4823205862414,17.4827050176746,18.3518749677791,17.6729559313232,18.0421299365031,17.2188524042653,17.2439042724095,17.1790886548613,17.2571548372453,17.1459694219703,17.5319095530891,18.3527430465663
XCH,Xochimilco,-99.118252,19.267066,2243,Finaliz� operaci�n en 1999,484090130102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAR,FES Arag�n,-99.046176,19.473692,2230,,484800150584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAC,Santiago Acahualtepec,-99.009381,19.34561,2293,,484800090073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
