cve_estac,nom_estac,longitud,latitud,alt,obs_estac,id_station,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
IMP,Inst. Mexicano del Petr�leo,-99.14729399999999,19.487561,2250.0,Finaliz� operaci�n en 2010,484090050209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
INN,Investigaciones Nucleares,-99.38051999999999,19.291968,3082.0,,484150620109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.00593715024553,1.97555263524257,2.19805497342568,1.57295048202959,1.19602626928581,1.1186896167590301
IZT,Iztacalco,-99.117641,19.384413000000002,2238.0,,484090060101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.84170795816308,5.72941973900218,6.21571938629405,6.77359453980343,5.7831863178520795,4.73437454481832,5.91575944472726,4.6188940414200195,4.7611338972322805,5.475861066885019,5.53769676807782,4.0242846202753695,3.424915721903,3.38774459496858
LAA,Lab. de Analisis Ambiental,-99.147312,19.483781,2255.0,,484090050604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LAG,Lagunilla,-99.135183,19.442420000000002,2223.0,Finaliz� operaci�n en 2010,484090150101,16.2794262500934,16.9030474916527,16.3098559714857,13.183708385523401,11.8877214119922,13.137975316228399,7.80835624272053,7.10049645619869,6.7917187384598305,6.9327490560172,7.10688969218791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LLA,Los Laureles,-99.039644,19.578792,2230.0,,484150330201,12.1224258871855,10.450387158061698,9.55511527399893,7.952310868554231,0.0,10.5237804317412,6.3567134266166505,7.319084278574951,5.58141564575251,5.153683287566349,5.5497646959140505,5.44011870243283,5.21496581275997,6.5954729747939,4.76039254056618,5.4816780324019,5.4281806639154695,5.11863228337478,4.75181863973242,3.62443018188539,2.5066907770185898
LOM,Lomas,-99.242062,19.403,2434.0,,484090160406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LPR,La Presa,-99.11771999999999,19.534727,2302.0,,484151040203,14.6277293573329,12.863601991943,13.021308451093098,10.9107683920909,11.762945038436198,7.86239959806218,5.9268602037961,6.40416833028961,4.682215095616259,4.12721808007864,5.643379993152161,4.054954609936559,4.613081492301349,4.655912290300691,3.37800482503607,2.9831469654487,2.67261386634299,4.14853158280132,3.56562639283723,2.4584874211269,2.7974802060739905
LVI,La Villa,-99.117749,19.46789,2228.0,Finaliz� operaci�n en 2010,484090050101,14.899037987044101,11.342891919495301,12.0651776138885,13.7833397701178,9.693767394751369,12.020813350903499,7.470316661112619,7.27383846734347,5.34374280293766,4.69469921588124,4.7017139198054005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MCM,Museo de la Cd. de M�xico,-99.131924,19.429071,2237.0,,484090150304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MER,Merced,-99.11959399999999,19.42461,2245.0,,484090170127,23.6898277291392,14.3732987713221,15.3923222502898,13.0976811548309,13.282649684598999,13.980055474839899,8.86453759717868,7.83159554708372,7.643319918838559,6.60371004153625,6.31994742802745,5.6534482497572505,6.2171340543466105,6.35512572777316,5.00031425587784,5.41549896940786,6.31495124215291,6.1043095708113,5.64609839525507,4.0053092106255095,3.83122070797394
