cve_estac,nom_estac,longitud,latitud,alt,obs_estac,id_station,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
LAG,Lagunilla,-99.135183,19.442420000000002,2223.0,Finaliz� operaci�n en 2010,484090150101,1.97035711657848,2.05217756079978,2.0329263724337,1.92220996293066,1.36941666464982,1.21813485955343,1.04719239522127,1.4324707596948,1.3737249939254998,1.13694882259672,1.16660942663505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LLA,Los Laureles,-99.039644,19.578792,2230.0,,484150330201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.620836748734408,0.6394916730195329,0.0,0.0,0.6421750506206201,0.0,0.573642470323835,0.46914750740268496,0.42705528174635904,0.370685677383961
LOM,Lomas,-99.242062,19.403,2434.0,,484090160406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LPR,La Presa,-99.11771999999999,19.534727,2302.0,,484151040203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.900251548154442,0.890433815103609,0.90976406255165,0.0,0.5724494634286279,0.5919571582002161,0.7154674116223991,0.647279834883416,0.5942577058121921,0.524832784222195
LVI,La Villa,-99.117749,19.46789,2228.0,Finaliz� operaci�n en 2010,484090050101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MCM,Museo de la Cd. de M�xico,-99.131924,19.429071,2237.0,,484090150304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MER,Merced,-99.11959399999999,19.42461,2245.0,,484090170127,2.34030575804374,2.4223080128122403,1.80871934062778,1.9479590569844198,1.6352399858791997,1.58332176165855,1.18193059057696,1.13028879123497,1.39898013124583,1.05022987167343,1.1788048928711101,1.0405573526795,1.0168621429313298,1.16067227087518,1.1029292950901899,1.04925232781985,0.9007029457198141,0.791691255428559,0.531243762834193,0.47127317829642495,0.394865012702815
MGH,Miguel Hidalgo,-99.20266,19.40405,2327.0,,484090160609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.793736208480527,0.7613094679269409,0.6923490303316291,0.48660439633777297,0.397712246648817,0.33526530570018104
MIN,Metro Insurgentes,-99.162885,19.42144,2231.0,Finaliz� operaci�n en 2007,484090150201,3.24019780590093,2.5592120115831603,2.22487375332385,2.57334756140558,1.88005970136382,1.9842178251593403,1.99278970051573,1.60617286796422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MON,Montecillo,-98.90285300000001,19.460415,2252.0,,484150990113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.417277928593276,0.37518362738065103,0.0,0.0,0.37339125550175706,0.37312468415646893,0.4117359086266379,0.352035425064627,0.316207672706916,0.266178519681908
MPA,Milpa Alta,-98.990189,19.1769,2594.0,,484090090104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.343830137962795,0.317463934710089,0.16897129991403603,0.172926634399436,0.135644093844816
NET,Netzahualcoyotl,-99.026119,19.42115,2230.0,Finaliz� operaci�n en 2000,484150580201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
