cve_estac,nom_estac,longitud,latitud,alt,obs_estac,id_station,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
LAG,Lagunilla,-99.135183,19.442420000000002,2223.0,Finaliz� operaci�n en 2010,484090150101,71.44959072344359,66.83018020482899,60.639470531429396,76.60119425706151,76.4369587677308,74.30380577756,71.5382840912786,74.63710149100491,75.5568402659707,64.58932617702621,65.8533553315714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LLA,Los Laureles,-99.039644,19.578792,2230.0,,484150330201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.504745936936,58.1195132299223,53.4971997053173,48.2909482163251,45.89728463507979,0.0,72.4019798136646,43.858835922740205,41.760047605663,45.708098843908395
LOM,Lomas,-99.242062,19.403,2434.0,,484090160406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LPR,La Presa,-99.11771999999999,19.534727,2302.0,,484151040203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.2342901198526,57.3597054454746,56.1460700734053,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LVI,La Villa,-99.117749,19.46789,2228.0,Finaliz� operaci�n en 2010,484090050101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MCM,Museo de la Cd. de M�xico,-99.131924,19.429071,2237.0,,484090150304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MER,Merced,-99.11959399999999,19.42461,2245.0,,484090170127,81.4088102982908,54.7709419408057,84.518858481905,92.65241469092791,84.61979699900391,81.1241209589533,76.5634199691637,79.1589386392361,78.2574989690193,70.1595216946523,72.4823783387912,69.1724098638495,75.0395074321513,70.8203828845263,74.3048745473908,65.1836141730491,63.938170461529296,62.177744094401504,58.312275828557205,52.1941435831734,40.6520566755445
MGH,Miguel Hidalgo,-99.20266,19.40405,2327.0,,484090160609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.653805447979,55.564797565290206,54.2666538668535,52.6851376552106,46.90443474758229,36.330361474193396
MIN,Metro Insurgentes,-99.162885,19.42144,2231.0,Finaliz� operaci�n en 2007,484090150201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MON,Montecillo,-98.90285300000001,19.460415,2252.0,,484150990113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.6884390530753,32.3288096353484,27.7748692491252,27.7259886126045,29.6668544619871,29.153509847751003,37.259124936437296,32.0928922401131,28.7758484507898,21.004661392125897
MPA,Milpa Alta,-98.990189,19.1769,2594.0,,484090090104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NET,Netzahualcoyotl,-99.026119,19.42115,2230.0,Finaliz� operaci�n en 2000,484150580201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NEZ,Nezahualc�yotl,-99.028212,19.393734,2235.0,,484150580115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.840633877676,46.485085532220204,45.553589661422606,44.7278763405818,42.458518851188,41.2158298469931,42.218413261605,37.7466319309389,33.2534727125874,26.885872429938804
PED,Pedregal,-99.204136,19.325146,2326.0,,484090100127,42.721057173617,43.0084901304316,32.5549860355696,48.6380062574372,48.02654948835871,46.3950819564594,41.3283932067527,37.1013630629769,36.298299008918,34.2750933635873,34.7936662990089,34.3305848641214,39.4748297895851,37.45168298161921,36.502964083673504,34.3493381524653,32.1590621014471,30.508892765200702,29.9008471529893,25.3366600978946,18.223522392171198
PER,La Perla,-98.991858,19.38286,2237.0,Finaliz� operaci�n en 2011,484150580303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PLA,Plateros,-99.200109,19.365869,2345.0,Finaliz� operaci�n en 2010,484090100209,46.89115811488129,29.830479292225103,42.173041241233605,61.3707848954212,59.235357270215104,53.96174875370979,53.36705947429629,50.53719490664,51.727978258190696,48.42250430042979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
POT,Portales,-99.14576600000001,19.376494,2237.0,Finaliz� operaci�n en 1996,484090140102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SAG,San Agust�n,-99.030324,19.532968,2241.0,,484150330327,68.4768764885034,40.726334533909395,39.779243823491505,47.0503603258631,46.45670390040421,45.5097848847445,46.6864222293695,49.0910171580838,48.62219096150311,42.8780786705491,44.610371361079295,47.0127970009013,47.532895525313904,46.50765333668329,46.924782787512996,42.675628604835204,41.8829227457643,44.02907655126779,40.2133634211222,37.0074085166219,29.8193534466504
SFE,Santa FE,-99.262865,19.357357,2599.0,,484090040309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.1740789921842,34.3806637728675,34.928669743428394,32.1674295277736,28.2196531156986,31.307360969961902,31.395596287725397,28.7602373989133,20.718630287558398
